natural_language_query,sql_query
List all orders where customer id is greater than 43,SELECT * FROM orders WHERE customer_id > 43;
Remove records from products where price is less than 1900,DELETE FROM products WHERE price < 1900;
Remove records from products where name is less than Keyboard,DELETE FROM products WHERE name < Keyboard;
Get the total name from customers,SELECT SUM(total_amount) FROM customers;
Remove records from orders where total amount is less than 2450,DELETE FROM orders WHERE total_amount < 2450;
Change price to 1300 in products where stock is 270,UPDATE products SET price = '1300' WHERE stock = '270';
List all order items where product id is greater than 14,SELECT * FROM order_items WHERE product_id > 14;
Change salary to 70000 in employees where id is 1,UPDATE employees SET salary = '70000' WHERE id = '1';
Get product id and count of records from order items grouped by product id having count greater than 8,"SELECT product_id, COUNT(*) FROM order_items GROUP BY product_id HAVING COUNT(*) > 8;"
Change stock to 50 in products where price is 1600,UPDATE products SET stock = '50' WHERE price = '1600';
Remove records from products where name is less than Desk Chair,DELETE FROM products WHERE name < Desk Chair;
Remove records from employees where salary is less than 110000,DELETE FROM employees WHERE salary < 110000;
List all products where stock is greater than 410,SELECT * FROM products WHERE stock > 410;
Get name and count of records from customers grouped by name having count greater than 8,"SELECT name, COUNT(*) FROM customers GROUP BY name HAVING COUNT(*) > 8;"
"Add a new record to the products with values Laptop, 700, 480","INSERT INTO products (name, price, stock) VALUES ('Laptop', 700, 480);"
Change price to 1600 in products where name is Desk Chair,UPDATE products SET price = '1600' WHERE name = 'Desk' Chair;
Change department to Engineering in employees where salary is 110000,UPDATE employees SET department = 'Engineering' WHERE salary = '110000';
Remove records from products where price is less than 600,DELETE FROM products WHERE price < 600;
List all employees where name is greater than Jane Smith,SELECT * FROM employees WHERE name > Jane Smith;
Change total amount to 1550 in orders where total amount is 4900,UPDATE orders SET total_amount = '1550' WHERE total_amount = '4900';
List all order items where order id is greater than 14,SELECT * FROM order_items WHERE order_id > 14;
List all products sorted by stock,SELECT * FROM products ORDER BY stock;
Get department and count of records from employees grouped by department having count greater than 9,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 9;"
Change order date to 2022-03-20 in orders where customer id is 25,UPDATE orders SET order_date = '2022-03-20' WHERE customer_id = '25';
List all customers sorted by signup date,SELECT * FROM customers ORDER BY signup_date;
Change salary to 95000 in employees where salary is 100000,UPDATE employees SET salary = '95000' WHERE salary = '100000';
Change customer id to 25 in orders where total amount is 1300,UPDATE orders SET customer_id = '25' WHERE total_amount = '1300';
"Add a new record to the products with values Keyboard, 1300, 20","INSERT INTO products (name, price, stock) VALUES ('Keyboard', 1300, 20);"
"Add a new record to the orders with values 23, 1950, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (23, 1950, '2022-02-14');"
Get name and count of records from products grouped by name having count greater than 8,"SELECT name, COUNT(*) FROM products GROUP BY name HAVING COUNT(*) > 8;"
Remove records from products where stock is less than 120,DELETE FROM products WHERE stock < 120;
"Add a new record to the products with values Laptop, 1200, 490","INSERT INTO products (name, price, stock) VALUES ('Laptop', 1200, 490);"
Change price to 1000 in products where id is 1,UPDATE products SET price = '1000' WHERE id = '1';
List all products where price is greater than 100,SELECT * FROM products WHERE price > 100;
Change age to 41 in employees where id is 1,UPDATE employees SET age = '41' WHERE id = '1';
Get quantity and count of records from order items grouped by quantity having count greater than 8,"SELECT quantity, COUNT(*) FROM order_items GROUP BY quantity HAVING COUNT(*) > 8;"
"Add a new record to the employees with values Bob Lee, 39, Marketing, 65000","INSERT INTO employees (name, age, department, salary) VALUES ('Bob Lee', 39, 'Marketing', 65000);"
Remove records from orders where order date is less than 2022-02-14,DELETE FROM orders WHERE order_date < 2022-02-14;
Change salary to 70000 in employees where age is 28,UPDATE employees SET salary = '70000' WHERE age = '28';
"Add a new record to the products with values Desk Chair, 500, 240","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 500, 240);"
"Add a new record to the employees with values John Doe, 32, Finance, 80000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 32, 'Finance', 80000);"
List all products where price is greater than 1400,SELECT * FROM products WHERE price > 1400;
"Add a new record to the customers with values Helen Martin, helen.martin@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'helen.martin@example.com', '2020-07-23');"
Change salary to 90000 in employees where name is Bob Lee,UPDATE employees SET salary = '90000' WHERE name = 'Bob' Lee;
List all order items where quantity is greater than 19,SELECT * FROM order_items WHERE quantity > 19;
List all orders,SELECT * FROM orders;
List all products where stock is greater than 390,SELECT * FROM products WHERE stock > 390;
Remove records from orders where customer id is less than 32,DELETE FROM orders WHERE customer_id < 32;
Get quantity and count of records from order items grouped by quantity having count greater than 2,"SELECT quantity, COUNT(*) FROM order_items GROUP BY quantity HAVING COUNT(*) > 2;"
"Add a new record to the customers with values Helen Martin, frank.harris@example.com, 2021-11-05","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'frank.harris@example.com', '2021-11-05');"
"Add a new record to the customers with values Helen Martin, grace.lee@example.com, 2020-07-23","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'grace.lee@example.com', '2020-07-23');"
Change customer id to 39 in orders where order date is 2022-04-25,UPDATE orders SET customer_id = '39' WHERE order_date = '2022-04-25';
Get the total order date from orders,SELECT SUM(order_date) FROM orders;
Change age to 25 in employees where age is 30,UPDATE employees SET age = '25' WHERE age = '30';
Change order date to 2022-02-14 in orders where customer id is 11,UPDATE orders SET order_date = ''2022-02-14'' WHERE customer_id = '11';
Remove records from employees where salary is less than 35000,DELETE FROM employees WHERE salary < 35000;
Change name to Bob Lee in employees where department is Engineering,UPDATE employees SET name = 'Bob' Lee WHERE department = 'Engineering';
Get price and count of records from products grouped by price having count greater than 3,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 3;"
"Add a new record to the products with values Smartphone, 1600, 90","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 1600, 90);"
"Add a new record to the customers with values Emma Wilson, helen.martin@example.com, 2022-03-10","INSERT INTO customers (name, email, signup_date) VALUES ('Emma Wilson', 'helen.martin@example.com', '2022-03-10');"
List all products where stock is greater than 260,SELECT * FROM products WHERE stock > 260;
"Add a new record to the products with values Laptop, 300, 360","INSERT INTO products (name, price, stock) VALUES ('Laptop', 300, 360);"
List all orders where total amount is greater than 3300,SELECT * FROM orders WHERE total_amount > 3300;
Get signup date and count of records from customers grouped by signup date having count greater than 3,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 3;"
"Add a new record to the orders with values 43, 2850, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (43, 2850, '2022-01-10');"
List all order items where order id is greater than 71,SELECT * FROM order_items WHERE order_id > 71;
"Add a new record to the employees with values Jane Smith, 30, Finance, 50000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 30, 'Finance', 50000);"
Remove records from employees where age is less than 25,DELETE FROM employees WHERE age < 25;
Remove records from products where price is less than 300,DELETE FROM products WHERE price < 300;
Change stock to 310 in products where name is Desk Chair,UPDATE products SET stock = '310' WHERE name = 'Desk' Chair;
Change name to Smartphone in products where name is Smartphone,UPDATE products SET name = 'Smartphone' WHERE name = 'Smartphone';
Remove records from employees where age is less than 30,DELETE FROM employees WHERE age < 30;
List all products where price is greater than 1600,SELECT * FROM products WHERE price > 1600;
Change customer id to 16 in orders where order date is 2022-02-14,UPDATE orders SET customer_id = '16' WHERE order_date = '2022-02-14';
Change name to Bob Lee in employees where id is 1,UPDATE employees SET name = 'Bob' Lee WHERE id = '1';
Remove records from employees where salary is less than 75000,DELETE FROM employees WHERE salary < 75000;
"Add a new record to the customers with values Helen Martin, frank.harris@example.com, 2020-12-30","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'frank.harris@example.com', '2020-12-30');"
Remove records from orders where customer id is less than 50,DELETE FROM orders WHERE customer_id < 50;
Get order id and count of records from order items grouped by order id having count greater than 5,"SELECT order_id, COUNT(*) FROM order_items GROUP BY order_id HAVING COUNT(*) > 5;"
List all employees where salary is greater than 110000,SELECT * FROM employees WHERE salary > 110000;
"Add a new record to the employees with values John Doe, 49, Sales, 105000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 49, 'Sales', 105000);"
Change name to Alice Johnson in employees where department is HR,UPDATE employees SET name = 'Alice' Johnson WHERE department = 'HR';
Get department and count of records from employees grouped by department having count greater than 6,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 6;"
Change name to Laptop in products where stock is 150,UPDATE products SET name = 'Laptop' WHERE stock = '150';
List all order items where order id is greater than 10,SELECT * FROM order_items WHERE order_id > 10;
"Add a new record to the employees with values John Doe, 27, Marketing, 110000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 27, 'Marketing', 110000);"
Get signup date and count of records from customers grouped by signup date having count greater than 5,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 5;"
Change name to Alice Johnson in employees where salary is 90000,UPDATE employees SET name = 'Alice' Johnson WHERE salary = '90000';
"Add a new record to the orders with values 19, 2250, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (19, 2250, '2022-05-30');"
Remove records from orders where customer id is less than 29,DELETE FROM orders WHERE customer_id < 29;
List all orders where total amount is greater than 3400,SELECT * FROM orders WHERE total_amount > 3400;
Change stock to 70 in products where name is Desk Chair,UPDATE products SET stock = '70' WHERE name = 'Desk' Chair;
Get total amount and count of records from orders grouped by total amount having count greater than 8,"SELECT total_amount, COUNT(*) FROM orders GROUP BY total_amount HAVING COUNT(*) > 8;"
List all customers where signup date is greater than 2020-12-30,SELECT * FROM customers WHERE signup_date > 2020-12-30;
Remove records from products where stock is less than 130,DELETE FROM products WHERE stock < 130;
"Add a new record to the employees with values Jane Smith, 55, HR, 45000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 55, 'HR', 45000);"
"Add a new record to the orders with values 30, 800, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (30, 800, '2022-05-30');"
"Add a new record to the employees with values Carol King, 41, Engineering, 70000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 41, 'Engineering', 70000);"
List all order items where product id is greater than 17,SELECT * FROM order_items WHERE product_id > 17;
"Add a new record to the orders with values 1, 700, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (1, 700, '2022-02-14');"
"Add a new record to the products with values Monitor, 700, 90","INSERT INTO products (name, price, stock) VALUES ('Monitor', 700, 90);"
Get the total email from customers,SELECT SUM(email) FROM customers;
Change order date to 2022-02-14 in orders where customer id is 7,UPDATE orders SET order_date = ''2022-02-14'' WHERE customer_id = '7';
Change stock to 10 in products where price is 700,UPDATE products SET stock = '10' WHERE price = '700';
"Add a new record to the customers with values Emma Wilson, david.brown@example.com, 2020-12-30","INSERT INTO customers (name, email, signup_date) VALUES ('Emma Wilson', 'david.brown@example.com', '2020-12-30');"
List all orders where customer id is greater than 9,SELECT * FROM orders WHERE customer_id > 9;
List all orders where total amount is greater than 2950,SELECT * FROM orders WHERE total_amount > 2950;
List all products where price is greater than 900,SELECT * FROM products WHERE price > 900;
"Add a new record to the orders with values 21, 2250, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (21, 2250, '2022-02-14');"
Change department to HR in employees where age is 31,UPDATE employees SET department = 'HR' WHERE age = '31';
Remove records from orders where total amount is less than 4750,DELETE FROM orders WHERE total_amount < 4750;
Change name to Desk Chair in products where id is 1,UPDATE products SET name = 'Desk' Chair WHERE id = '1';
Remove records from employees where department is less than Marketing,DELETE FROM employees WHERE department < Marketing;
List all employees where salary is greater than 40000,SELECT * FROM employees WHERE salary > 40000;
Remove records from products where price is less than 1600,DELETE FROM products WHERE price < 1600;
List all order items where order id is greater than 53,SELECT * FROM order_items WHERE order_id > 53;
"Add a new record to the customers with values Frank Harris, grace.lee@example.com, 2020-12-30","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'grace.lee@example.com', '2020-12-30');"
Get price and count of records from products grouped by price having count greater than 5,"SELECT price, COUNT(*) FROM products GROUP BY price HAVING COUNT(*) > 5;"
Get signup date and count of records from customers grouped by signup date having count greater than 9,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 9;"
"Add a new record to the orders with values 40, 2750, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (40, 2750, '2022-01-10');"
"Add a new record to the products with values Desk Chair, 1300, 370","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1300, 370);"
"Add a new record to the employees with values Alice Johnson, 60, HR, 55000","INSERT INTO employees (name, age, department, salary) VALUES ('Alice Johnson', 60, 'HR', 55000);"
"Add a new record to the products with values Keyboard, 1100, 440","INSERT INTO products (name, price, stock) VALUES ('Keyboard', 1100, 440);"
Change total amount to 950 in orders where order date is 2022-01-10,UPDATE orders SET total_amount = '950' WHERE order_date = '2022-01-10';
Get email and count of records from customers grouped by email having count greater than 9,"SELECT email, COUNT(*) FROM customers GROUP BY email HAVING COUNT(*) > 9;"
Get the total price from products,SELECT SUM(price) FROM products;
Change department to Sales in employees where id is 1,UPDATE employees SET department = 'Sales' WHERE id = '1';
Get email and count of records from customers grouped by email having count greater than 1,"SELECT email, COUNT(*) FROM customers GROUP BY email HAVING COUNT(*) > 1;"
List all products where stock is greater than 380,SELECT * FROM products WHERE stock > 380;
Remove records from employees where name is less than Bob Lee,DELETE FROM employees WHERE name < Bob Lee;
List all products where price is greater than 300,SELECT * FROM products WHERE price > 300;
Remove records from products where name is less than Laptop,DELETE FROM products WHERE name < Laptop;
"Add a new record to the products with values Desk Chair, 1100, 190","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 1100, 190);"
Change price to 800 in products where name is Monitor,UPDATE products SET price = '800' WHERE name = 'Monitor';
"Add a new record to the products with values Monitor, 900, 280","INSERT INTO products (name, price, stock) VALUES ('Monitor', 900, 280);"
"Add a new record to the customers with values Helen Martin, emma.wilson@example.com, 2021-11-05","INSERT INTO customers (name, email, signup_date) VALUES ('Helen Martin', 'emma.wilson@example.com', '2021-11-05');"
Remove records from products where stock is less than 410,DELETE FROM products WHERE stock < 410;
"Add a new record to the orders with values 16, 3700, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (16, 3700, '2022-04-25');"
Get stock and count of records from products grouped by stock having count greater than 4,"SELECT stock, COUNT(*) FROM products GROUP BY stock HAVING COUNT(*) > 4;"
Remove records from products where stock is less than 210,DELETE FROM products WHERE stock < 210;
Change salary to 70000 in employees where name is John Doe,UPDATE employees SET salary = '70000' WHERE name = 'John' Doe;
List all order items where product id is greater than 9,SELECT * FROM order_items WHERE product_id > 9;
Change stock to 250 in products where price is 1700,UPDATE products SET stock = '250' WHERE price = '1700';
"Add a new record to the orders with values 46, 4900, 2022-02-14","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (46, 4900, '2022-02-14');"
List all order items where order id is greater than 12,SELECT * FROM order_items WHERE order_id > 12;
"Add a new record to the employees with values Jane Smith, 30, HR, 70000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 30, 'HR', 70000);"
Change name to Alice Johnson in employees where department is Engineering,UPDATE employees SET name = 'Alice' Johnson WHERE department = 'Engineering';
List all employees where age is greater than 50,SELECT * FROM employees WHERE age > 50;
Remove records from orders where total amount is less than 2600,DELETE FROM orders WHERE total_amount < 2600;
Change total amount to 1400 in orders where order date is 2022-03-20,UPDATE orders SET total_amount = '1400' WHERE order_date = '2022-03-20';
Change total amount to 2800 in orders where total amount is 1350,UPDATE orders SET total_amount = '2800' WHERE total_amount = '1350';
List all orders where customer id is greater than 46,SELECT * FROM orders WHERE customer_id > 46;
"Add a new record to the orders with values 19, 4000, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (19, 4000, '2022-05-30');"
Remove records from products where stock is less than 460,DELETE FROM products WHERE stock < 460;
Get the total name from employees,SELECT SUM(total_amount) FROM employees;
List all products where stock is greater than 10,SELECT * FROM products WHERE stock > 10;
Remove records from orders where customer id is less than 39,DELETE FROM orders WHERE customer_id < 39;
Get department and count of records from employees grouped by department having count greater than 2,"SELECT department, COUNT(*) FROM employees GROUP BY department HAVING COUNT(*) > 2;"
Change department to Engineering in employees where age is 48,UPDATE employees SET department = 'Engineering' WHERE age = '48';
Change salary to 75000 in employees where salary is 70000,UPDATE employees SET salary = '75000' WHERE salary = '70000';
Change price to 400 in products where stock is 220,UPDATE products SET price = '400' WHERE stock = '220';
List all order items where order id is greater than 65,SELECT * FROM order_items WHERE order_id > 65;
Change customer id to 18 in orders where order date is 2022-03-20,UPDATE orders SET customer_id = '18' WHERE order_date = '2022-03-20';
Change name to Bob Lee in employees where age is 25,UPDATE employees SET name = 'Bob' Lee WHERE age = '25';
List all orders where order date is greater than 2022-04-25,SELECT * FROM orders WHERE order_date > 2022-04-25;
Remove records from orders where customer id is less than 6,DELETE FROM orders WHERE customer_id < 6;
List all employees where salary is greater than 75000,SELECT * FROM employees WHERE salary > 75000;
Change salary to 90000 in employees where department is Sales,UPDATE employees SET salary = '90000' WHERE department = 'Sales';
List all orders where total amount is greater than 4100,SELECT * FROM orders WHERE total_amount > 4100;
"Add a new record to the products with values Keyboard, 1400, 480","INSERT INTO products (name, price, stock) VALUES ('Keyboard', 1400, 480);"
"Add a new record to the orders with values 27, 1500, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (27, 1500, '2022-01-10');"
Remove records from products where price is less than 1500,DELETE FROM products WHERE price < 1500;
Remove records from orders where customer id is less than 9,DELETE FROM orders WHERE customer_id < 9;
Change name to Laptop in products where stock is 170,UPDATE products SET name = 'Laptop' WHERE stock = '170';
"Add a new record to the employees with values John Doe, 45, Finance, 115000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 45, 'Finance', 115000);"
"Add a new record to the products with values Monitor, 1300, 90","INSERT INTO products (name, price, stock) VALUES ('Monitor', 1300, 90);"
List all orders where total amount is greater than 600,SELECT * FROM orders WHERE total_amount > 600;
List all order items where product id is greater than 20,SELECT * FROM order_items WHERE product_id > 20;
"Add a new record to the products with values Laptop, 800, 70","INSERT INTO products (name, price, stock) VALUES ('Laptop', 800, 70);"
"Add a new record to the orders with values 10, 3850, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (10, 3850, '2022-03-20');"
Change name to Jane Smith in employees where salary is 100000,UPDATE employees SET name = 'Jane' Smith WHERE salary = '100000';
Change order date to 2022-04-25 in orders where id is 1,UPDATE orders SET order_date = '2022-04-25' WHERE id = '1';
Remove records from orders where customer id is less than 15,DELETE FROM orders WHERE customer_id < 15;
"Add a new record to the products with values Laptop, 900, 130","INSERT INTO products (name, price, stock) VALUES ('Laptop', 900, 130);"
Change total amount to 450 in orders where order date is 2022-01-10,UPDATE orders SET total_amount = '450' WHERE order_date = '2022-01-10';
Change name to Jane Smith in employees where department is Finance,UPDATE employees SET name = 'Jane' Smith WHERE department = 'Finance';
Remove records from products where stock is less than 280,DELETE FROM products WHERE stock < 280;
Change customer id to 44 in orders where total amount is 3100,UPDATE orders SET customer_id = '44' WHERE total_amount = '3100';
"Add a new record to the orders with values 11, 250, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (11, 250, '2022-03-20');"
Get signup date and count of records from customers grouped by signup date having count greater than 6,"SELECT signup_date, COUNT(*) FROM customers GROUP BY signup_date HAVING COUNT(*) > 6;"
"Add a new record to the products with values Smartphone, 1500, 240","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 1500, 240);"
Change stock to 250 in products where id is 1,UPDATE products SET stock = '250' WHERE id = '1';
List all employees where age is greater than 46,SELECT * FROM employees WHERE age > 46;
Remove records from employees where salary is less than 80000,DELETE FROM employees WHERE salary < 80000;
Change price to 1200 in products where name is Smartphone,UPDATE products SET price = '1200' WHERE name = 'Smartphone';
Get product id and count of records from order items grouped by product id having count greater than 9,"SELECT product_id, COUNT(*) FROM order_items GROUP BY product_id HAVING COUNT(*) > 9;"
Change age to 41 in employees where department is Marketing,UPDATE employees SET age = '41' WHERE department = 'Marketing';
Remove records from products where price is less than 400,DELETE FROM products WHERE price < 400;
Change name to Bob Lee in employees where name is Bob Lee,UPDATE employees SET name = 'Bob' Lee WHERE name = 'Bob' Lee;
List all order items where quantity is greater than 8,SELECT * FROM order_items WHERE quantity > 8;
"Add a new record to the customers with values Frank Harris, emma.wilson@example.com, 2021-11-05","INSERT INTO customers (name, email, signup_date) VALUES ('Frank Harris', 'emma.wilson@example.com', '2021-11-05');"
Change salary to 80000 in employees where id is 1,UPDATE employees SET salary = '80000' WHERE id = '1';
Change name to Alice Johnson in employees where department is Marketing,UPDATE employees SET name = 'Alice' Johnson WHERE department = 'Marketing';
Get product id and count of records from order items grouped by product id having count greater than 4,"SELECT product_id, COUNT(*) FROM order_items GROUP BY product_id HAVING COUNT(*) > 4;"
"Add a new record to the products with values Keyboard, 1500, 460","INSERT INTO products (name, price, stock) VALUES ('Keyboard', 1500, 460);"
Remove records from employees where name is less than Carol King,DELETE FROM employees WHERE name < Carol King;
"Add a new record to the employees with values John Doe, 28, Finance, 95000","INSERT INTO employees (name, age, department, salary) VALUES ('John Doe', 28, 'Finance', 95000);"
Change order date to 2022-05-30 in orders where customer id is 25,UPDATE orders SET order_date = '2022-05-30' WHERE customer_id = '25';
"Add a new record to the employees with values Jane Smith, 50, Sales, 40000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 50, 'Sales', 40000);"
Get name and count of records from products grouped by name having count greater than 9,"SELECT name, COUNT(*) FROM products GROUP BY name HAVING COUNT(*) > 9;"
"Add a new record to the employees with values Jane Smith, 28, Marketing, 70000","INSERT INTO employees (name, age, department, salary) VALUES ('Jane Smith', 28, 'Marketing', 70000);"
Change total amount to 2200 in orders where order date is 2022-05-30,UPDATE orders SET total_amount = '2200' WHERE order_date = '2022-05-30';
Change department to Sales in employees where name is Bob Lee,UPDATE employees SET department = 'Sales' WHERE name = 'Bob' Lee;
List all products where stock is greater than 110,SELECT * FROM products WHERE stock > 110;
"Add a new record to the products with values Desk Chair, 600, 280","INSERT INTO products (name, price, stock) VALUES ('Desk Chair', 600, 280);"
List all order items where order id is greater than 86,SELECT * FROM order_items WHERE order_id > 86;
"Add a new record to the employees with values Alice Johnson, 48, Sales, 95000","INSERT INTO employees (name, age, department, salary) VALUES ('Alice Johnson', 48, 'Sales', 95000);"
Get the total signup date from customers,SELECT SUM(signup_date) FROM customers;
Remove records from employees where age is less than 50,DELETE FROM employees WHERE age < 50;
List all employees where age is greater than 25,SELECT * FROM employees WHERE age > 25;
List all products where price is greater than 2000,SELECT * FROM products WHERE price > 2000;
"Add a new record to the orders with values 23, 50, 2022-03-20","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (23, 50, '2022-03-20');"
List all products where stock is greater than 230,SELECT * FROM products WHERE stock > 230;
List all employees where department is greater than Finance,SELECT * FROM employees WHERE department > Finance;
"Add a new record to the customers with values David Brown, emma.wilson@example.com, 2022-03-10","INSERT INTO customers (name, email, signup_date) VALUES ('David Brown', 'emma.wilson@example.com', '2022-03-10');"
"Add a new record to the orders with values 38, 4500, 2022-05-30","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (38, 4500, '2022-05-30');"
Get age and count of records from employees grouped by age having count greater than 7,"SELECT age, COUNT(*) FROM employees GROUP BY age HAVING COUNT(*) > 7;"
Change order date to 2022-01-10 in orders where total amount is 4400,UPDATE orders SET order_date = '2022-01-10' WHERE total_amount = '4400';
"Add a new record to the orders with values 42, 2150, 2022-01-10","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (42, 2150, '2022-01-10');"
"Add a new record to the products with values Smartphone, 2000, 230","INSERT INTO products (name, price, stock) VALUES ('Smartphone', 2000, 230);"
Get the total quantity from order items,SELECT SUM(quantity) FROM order_items;
"Add a new record to the orders with values 41, 2700, 2022-04-25","INSERT INTO orders (customer_id, total_amount, order_date) VALUES (41, 2700, '2022-04-25');"
List all orders sorted by customer id,SELECT * FROM orders ORDER BY customer_id;
List all employees where age is greater than 42,SELECT * FROM employees WHERE age > 42;
"Add a new record to the products with values Laptop, 300, 440","INSERT INTO products (name, price, stock) VALUES ('Laptop', 300, 440);"
"Add a new record to the employees with values Carol King, 26, HR, 105000","INSERT INTO employees (name, age, department, salary) VALUES ('Carol King', 26, 'HR', 105000);"
Change order date to 2022-05-30 in orders where customer id is 47,UPDATE orders SET order_date = '2022-05-30' WHERE customer_id = '47';
List all orders where customer id is greater than 31,SELECT * FROM orders WHERE customer_id > 31;
Change price to 1800 in products where stock is 60,UPDATE products SET price = '1800' WHERE stock = '60';
Change customer id to 9 in orders where id is 1,UPDATE orders SET customer_id = '9' WHERE id = '1';
